"name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region"
"Kheer sagar","saffron","vegetarian",25,60,"sweet","dessert","Odisha","East"
"Kheer sagar","cardamom","vegetarian",25,60,"sweet","dessert","Odisha","East"
"Ledikeni","Chhena","vegetarian",45,45,"sweet","dessert","West Bengal","East"
"Ledikeni","sugar","vegetarian",45,45,"sweet","dessert","West Bengal","East"
"Ledikeni","ghee","vegetarian",45,45,"sweet","dessert","West Bengal","East"
"Lyangcha","Flour","vegetarian",20,30,"sweet","dessert","Assam","North East"
"Lyangcha","fried milk power","vegetarian",20,30,"sweet","dessert","Assam","North East"
"Lyangcha","sugar syrup","vegetarian",20,30,"sweet","dessert","Assam","North East"
"Malapua","Yoghurt","vegetarian",10,120,"sweet","dessert","Bihar","North"
"Malapua","refined flour","vegetarian",10,120,"sweet","dessert","Bihar","North"
"Malapua","ghee","vegetarian",10,120,"sweet","dessert","Bihar","North"
"Malapua","fennel seeds","vegetarian",10,120,"sweet","dessert","Bihar","North"
"Mihidana","Besan flour","vegetarian",15,30,"sweet","dessert","West Bengal","East"
"Mihidana","sugar","vegetarian",15,30,"sweet","dessert","West Bengal","East"
"Mihidana","ghee","vegetarian",15,30,"sweet","dessert","West Bengal","East"
"Misti doi","Milk","vegetarian",480,30,"sweet","dessert","West Bengal","East"
"Misti doi","jaggery","vegetarian",480,30,"sweet","dessert","West Bengal","East"
"Pantua","Chhena","vegetarian",45,45,"sweet","dessert","West Bengal","East"
"Pantua","sugar","vegetarian",45,45,"sweet","dessert","West Bengal","East"
"Pantua","ghee","vegetarian",45,45,"sweet","dessert","West Bengal","East"
"Pantua","flour","vegetarian",45,45,"sweet","dessert","West Bengal","East"
"Pithe","Rice flour","vegetarian",15,35,"sweet","dessert","Assam","North East"
"Pithe","wheat flour","vegetarian",15,35,"sweet","dessert","Assam","North East"
"Rasabali","Chenna","vegetarian",15,30,"sweet","dessert","Odisha","East"
"Rasabali","sweetened milk","vegetarian",15,30,"sweet","dessert","Odisha","East"
"Ras malai","Chhena","vegetarian",180,60,"sweet","dessert","West Bengal","East"
"Ras malai","reduced milk","vegetarian",180,60,"sweet","dessert","West Bengal","East"
"Ras malai","pistachio","vegetarian",180,60,"sweet","dessert","West Bengal","East"
"Rasgulla","Chhena","vegetarian",10,90,"sweet","dessert","West Bengal","East"
"Rasgulla","sugar","vegetarian",10,90,"sweet","dessert","West Bengal","East"
"Rasgulla","cardamom","vegetarian",10,90,"sweet","dessert","West Bengal","East"
"Sandesh","Milk","vegetarian",30,20,"sweet","dessert","West Bengal","East"
"Sandesh","sugar","vegetarian",30,20,"sweet","dessert","West Bengal","East"
"Sandesh","saffron","vegetarian",30,20,"sweet","dessert","West Bengal","East"
"Sandesh","cardamom","vegetarian",30,20,"sweet","dessert","West Bengal","East"
